student,source,n_chunks,mean_disp,var_disp,max_disp,tortuosity,momentum
A,ai,23,0.8162,0.0541,1.2722,15.2016,-0.4712
A,human,38,0.8015,0.0463,1.2037,27.0095,-0.4898
B,ai,48,0.6478,0.0340,0.9614,43.7752,-0.4411
B,human,39,0.7863,0.0554,1.2578,43.2314,-0.4671
C,ai,30,0.7660,0.0598,1.1309,22.4657,-0.4572
C,human,49,0.7535,0.0567,1.2485,28.7782,-0.4603
D,ai,26,0.6927,0.0353,1.1437,41.6917,-0.4497
D,human,47,0.7436,0.0530,1.1820,33.2889,-0.4697
E,ai,15,0.6391,0.0673,1.0651,18.2245,-0.4631
E,human,16,0.7395,0.0431,1.1302,14.4055,-0.5316
F,ai,15,0.5178,0.0563,0.9341,31.3345,-0.3520
G,ai,16,0.6311,0.0394,0.9685,12.0524,-0.4637
G,human,13,0.7029,0.0340,1.1884,21.7020,-0.4625
